user_id,device_id,event_type,timestamp,hour
0xf17e30295a693e0290de887c34bbeac75e2d5ef900dfbb4a40ff46318f1748ec,CASAS-69A70E61238F,Wake Up,2011-06-24 05:07:20,5
0xf17e30295a693e0290de887c34bbeac75e2d5ef900dfbb4a40ff46318f1748ec,CASAS-69A70E61238F,Bed Toilet Transition,2011-06-24 05:07:27,5
0xf17e30295a693e0290de887c34bbeac75e2d5ef900dfbb4a40ff46318f1748ec,CASAS-69A70E61238F,Sleep,2011-06-24 05:11:00,5
0xf17e30295a693e0290de887c34bbeac75e2d5ef900dfbb4a40ff46318f1748ec,CASAS-69A70E61238F,Sleep,2011-06-24 05:11:05,5
0xf17e30295a693e0290de887c34bbeac75e2d5ef900dfbb4a40ff46318f1748ec,CASAS-F92FE3B56CF7,Personal Hygiene,2011-06-24 07:43:46,7
0xf17e30295a693e0290de887c34bbeac75e2d5ef900dfbb4a40ff46318f1748ec,CASAS-C9522813A994,Cook,2011-06-24 07:50:40,7
0xf17e30295a693e0290de887c34bbeac75e2d5ef900dfbb4a40ff46318f1748ec,CASAS-69A70E61238F,Dress,2011-06-24 08:03:37,8
0xf17e30295a693e0290de887c34bbeac75e2d5ef900dfbb4a40ff46318f1748ec,CASAS-976E6474D572,Relax,2011-06-24 08:06:25,8
0xf17e30295a693e0290de887c34bbeac75e2d5ef900dfbb4a40ff46318f1748ec,CASAS-C9522813A994,Cook,2011-06-24 08:10:03,8
0xf17e30295a693e0290de887c34bbeac75e2d5ef900dfbb4a40ff46318f1748ec,CASAS-F92FE3B56CF7,Toilet,2011-06-24 08:16:08,8
0xf17e30295a693e0290de887c34bbeac75e2d5ef900dfbb4a40ff46318f1748ec,CASAS-C9522813A994,Cook,2011-06-24 08:20:37,8
0xf17e30295a693e0290de887c34bbeac75e2d5ef900dfbb4a40ff46318f1748ec,CASAS-6CD2FFA728C4,Eat,2011-06-24 08:25:44,8
0xf17e30295a693e0290de887c34bbeac75e2d5ef900dfbb4a40ff46318f1748ec,CASAS-C9522813A994,Cook,2011-06-24 09:32:21,9
0xf17e30295a693e0290de887c34bbeac75e2d5ef900dfbb4a40ff46318f1748ec,CASAS-6CD2FFA728C4,Eat,2011-06-24 09:38:16,9
0xf17e30295a693e0290de887c34bbeac75e2d5ef900dfbb4a40ff46318f1748ec,CASAS-F92FE3B56CF7,Personal Hygiene,2011-06-24 09:52:26,9
0xf17e30295a693e0290de887c34bbeac75e2d5ef900dfbb4a40ff46318f1748ec,CASAS-69A70E61238F,Dress,2011-06-24 10:00:34,10
0xf17e30295a693e0290de887c34bbeac75e2d5ef900dfbb4a40ff46318f1748ec,CASAS-F92FE3B56CF7,Toilet,2011-06-24 10:07:25,10
0xf17e30295a693e0290de887c34bbeac75e2d5ef900dfbb4a40ff46318f1748ec,CASAS-C9522813A994,Cook,2011-06-24 11:35:51,11
0xf17e30295a693e0290de887c34bbeac75e2d5ef900dfbb4a40ff46318f1748ec,CASAS-936377A45DC9,Step Out,2011-06-24 11:44:26,11
0xf17e30295a693e0290de887c34bbeac75e2d5ef900dfbb4a40ff46318f1748ec,CASAS-976E6474D572,Relax,2011-06-24 11:47:08,11
0xf17e30295a693e0290de887c34bbeac75e2d5ef900dfbb4a40ff46318f1748ec,CASAS-69A70E61238F,Sleep Out Of Bed,2011-06-24 12:24:01,12
0xf17e30295a693e0290de887c34bbeac75e2d5ef900dfbb4a40ff46318f1748ec,CASAS-C9522813A994,Cook,2011-06-24 13:28:48,13
0xf17e30295a693e0290de887c34bbeac75e2d5ef900dfbb4a40ff46318f1748ec,CASAS-F92FE3B56CF7,Toilet,2011-06-24 13:33:49,13
0xf17e30295a693e0290de887c34bbeac75e2d5ef900dfbb4a40ff46318f1748ec,CASAS-8611464E39DF,Work,2011-06-24 13:36:51,13
0xf17e30295a693e0290de887c34bbeac75e2d5ef900dfbb4a40ff46318f1748ec,CASAS-976E6474D572,Relax,2011-06-24 13:46:58,13
0xf17e30295a693e0290de887c34bbeac75e2d5ef900dfbb4a40ff46318f1748ec,CASAS-C9522813A994,Cook,2011-06-24 14:30:44,14
