2012-07-20,10:38:54.512364,OutsideDoor,ON,Step_Out="begin"
2012-07-20,10:38:59.541365,OutsideDoor,OFF
2012-07-20,10:39:02.429671,OutsideDoor,ON
2012-07-20,10:39:04.120443,OutsideDoor,OFF
2012-07-20,10:39:36.167078,OutsideDoor,ON
2012-07-20,10:39:37.854301,OutsideDoor,OFF
2012-07-20,10:40:05.787735,OutsideDoor,ON
2012-07-20,10:40:07.877559,OutsideDoor,OFF
2012-07-20,10:40:56.201528,OutsideDoor,ON
2012-07-20,10:40:58.646842,OutsideDoor,OFF
2012-07-20,10:41:03.166416,OutsideDoor,ON
2012-07-20,10:41:05.038962,OutsideDoor,OFF
2012-07-20,10:43:02.799103,OutsideDoor,ON
2012-07-20,10:43:05.0317,OutsideDoor,OFF
2012-07-20,10:43:08.79096,OutsideDoor,ON
2012-07-20,10:43:10.636969,OutsideDoor,OFF
2012-07-20,10:47:30.900014,OutsideDoor,ON
2012-07-20,10:47:33.460038,OutsideDoor,OFF
2012-07-20,10:47:42.747965,OutsideDoor,ON
2012-07-20,10:47:44.775048,OutsideDoor,OFF
2012-07-20,10:48:47.503948,OutsideDoor,ON
2012-07-20,10:48:50.082909,OutsideDoor,OFF
2012-07-20,10:49:22.311572,OutsideDoor,ON
2012-07-20,10:49:24.165301,OutsideDoor,OFF
2012-07-20,10:49:28.87682,OutsideDoor,ON
2012-07-20,10:49:30.001951,OutsideDoor,OFF
2012-07-20,10:49:38.27923,OutsideDoor,ON
2012-07-20,10:49:44.79559,OutsideDoor,OFF
2012-07-20,10:49:47.269908,OutsideDoor,ON
2012-07-20,10:49:49.280959,OutsideDoor,OFF
2012-07-20,10:50:02.585003,OutsideDoor,ON
2012-07-20,10:50:04.679437,OutsideDoor,OFF
2012-07-20,10:50:13.08852,OutsideDoor,ON
2012-07-20,10:50:16.134834,OutsideDoor,OFF
2012-07-20,10:50:19.480484,OutsideDoor,ON
2012-07-20,10:50:23.064474,OutsideDoor,OFF
2012-07-20,10:50:33.173972,OutsideDoor,ON
2012-07-20,10:50:35.611691,OutsideDoor,OFF
2012-07-20,10:50:47.599399,OutsideDoor,ON
2012-07-20,10:50:52.322264,OutsideDoor,OFF
2012-07-20,10:50:53.059338,OutsideDoor,ON
2012-07-20,10:50:54.933393,OutsideDoor,OFF,Step_Out="end"
2012-07-20,10:51:32.789559,LivingRoom,ON
2012-07-20,10:51:34.092312,LivingRoom,ON
2012-07-20,10:51:34.591179,LivingRoom,OFF
2012-07-20,10:51:41.095751,LivingRoom,OFF
2012-07-20,10:51:41.672034,LivingRoom,ON
2012-07-20,10:51:44.108447,LivingRoom,OFF
2012-07-20,10:51:47.808497,LivingRoom,ON
2012-07-20,10:51:53.568708,DiningRoom,ON
2012-07-20,10:51:55.25605,DiningRoom,OFF
2012-07-20,10:51:55.608132,LivingRoom,OFF
2012-07-20,10:51:56.536575,LivingRoom,ON
2012-07-20,10:51:58.752323,LivingRoom,OFF
2012-07-20,10:52:01.068809,LivingRoom,ON
2012-07-20,10:52:04.946869,LivingRoom,OFF
2012-07-20,10:52:15.564397,Kitchen,ON
2012-07-20,10:52:17.858904,Kitchen,OFF
2012-07-20,10:52:20.8931,LivingRoom,ON
2012-07-20,10:52:21.174767,Kitchen,ON
2012-07-20,10:52:23.430874,DiningRoom,ON
2012-07-20,10:52:24.511934,Kitchen,OFF
2012-07-20,10:52:25.255342,DiningRoom,OFF
2012-07-20,10:52:25.613753,LivingRoom,OFF
2012-07-20,10:52:26.563255,LivingRoom,ON
2012-07-20,10:52:28.408665,LivingRoom,OFF
2012-07-20,10:52:28.933003,LivingRoom,ON
2012-07-20,10:52:37.203496,LivingRoom,OFF
2012-07-20,10:52:37.789653,LivingRoom,ON
2012-07-20,10:52:43.029959,LivingRoom,OFF
2012-07-20,10:52:43.613376,LivingRoom,ON
2012-07-20,10:52:43.738067,Kitchen,ON
2012-07-20,10:52:45.450741,Kitchen,OFF
2012-07-20,10:52:46.93013,LivingRoom,OFF
2012-07-20,10:52:49.235611,LivingRoom,ON
2012-07-20,10:52:51.67922,LivingRoom,ON
2012-07-20,10:52:53.454631,OutsideDoor,ON
2012-07-20,10:52:53.971912,LivingRoom,OFF
2012-07-20,10:52:54.551393,OutsideDoor,OFF
2012-07-20,10:52:57.240919,Kitchen,ON
2012-07-20,10:52:57.921212,OutsideDoor,ON
2012-07-20,10:52:58.419288,Kitchen,OFF
2012-07-20,10:52:59.248075,LivingRoom,ON
2012-07-20,10:53:00.120949,OutsideDoor,OFF
2012-07-20,10:53:01.467672,LivingRoom,OFF
2012-07-20,10:53:23.151412,LivingRoom,OFF
2012-07-20,10:53:23.875544,LivingRoom,ON
2012-07-20,10:53:26.708115,LivingRoom,OFF
2012-07-20,10:53:28.176701,LivingRoom,ON
2012-07-20,10:53:34.23997,LivingRoom,OFF
2012-07-20,10:53:35.100831,LivingRoom,ON
2012-07-20,10:53:43.768411,LivingRoom,OFF
2012-07-20,10:53:44.289214,LivingRoom,ON
2012-07-20,10:53:46.956374,LivingRoom,OFF
2012-07-20,10:53:50.322147,LivingRoom,ON
2012-07-20,10:53:54.975458,LivingRoom,OFF
2012-07-20,10:53:55.419824,LivingRoom,ON
2012-07-20,10:53:59.715584,LivingRoom,ON
2012-07-20,10:54:01.682102,OutsideDoor,ON
2012-07-20,10:54:01.827614,LivingRoom,OFF
2012-07-20,10:54:02.140721,LivingRoom,OFF
2012-07-20,10:54:02.769146,OutsideDoor,OFF
2012-07-20,10:54:02.925293,LivingRoom,ON
2012-07-20,10:54:05.594398,OutsideDoor,ON
2012-07-20,10:54:05.719069,LivingRoom,ON
2012-07-20,10:54:07.052925,LivingRoom,OFF
2012-07-20,10:54:07.508593,LivingRoom,OFF
2012-07-20,10:54:09.577204,LivingRoom,ON
2012-07-20,10:54:09.879084,LivingRoom,ON
2012-07-20,10:54:10.834797,OutsideDoor,OFF
2012-07-20,10:54:12.284444,LivingRoom,OFF
2012-07-20,10:54:12.854692,LivingRoom,ON
2012-07-20,10:54:13.826325,OutsideDoor,ON
2012-07-20,10:54:14.949093,LivingRoom,OFF
2012-07-20,10:54:15.434778,LivingRoom,OFF
2012-07-20,10:54:16.070296,OutsideDoor,OFF
2012-07-20,10:54:32.754491,OutsideDoor,ON
2012-07-20,10:54:36.735998,OutsideDoor,OFF
2012-07-20,10:55:35.395679,OutsideDoor,ON
2012-07-20,10:55:35.512993,LivingRoom,ON
2012-07-20,10:55:35.747465,LivingRoom,ON
2012-07-20,10:55:36.543387,OutsideDoor,OFF
2012-07-20,10:55:38.188811,LivingRoom,OFF
2012-07-20,10:55:40.915846,LivingRoom,OFF
2012-07-20,10:55:48.385153,LivingRoom,ON
2012-07-20,10:55:49.826424,LivingRoom,ON
2012-07-20,10:55:51.312837,OutsideDoor,ON
2012-07-20,10:55:52.042286,LivingRoom,OFF
2012-07-20,10:55:52.465387,OutsideDoor,OFF
2012-07-20,10:55:52.801914,LivingRoom,ON
2012-07-20,10:55:55.287514,LivingRoom,OFF
2012-07-20,10:55:57.694134,LivingRoom,OFF
2012-07-20,10:55:58.145063,LivingRoom,ON
2012-07-20,10:56:00.68743,LivingRoom,ON
2012-07-20,10:56:02.034882,OutsideDoor,ON
2012-07-20,10:56:03.11503,OutsideDoor,OFF
2012-07-20,10:56:03.243308,LivingRoom,OFF
2012-07-20,10:56:03.352483,LivingRoom,OFF
2012-07-20,10:56:15.809314,Bedroom,ON
2012-07-20,10:56:18.904465,OutsideDoor,ON
2012-07-20,10:56:20.557185,OutsideDoor,OFF
2012-07-20,10:56:21.561822,Bedroom,OFF
2012-07-20,10:56:33.130241,OutsideDoor,ON
2012-07-20,10:56:34.192345,LivingRoom,ON
