user_id,device_id,event_type,timestamp,hour,room
0xfeb6c5a92d3345baff54462956d8f0aec40426dd64d636cce73e3203c96e8d2d,FEC966A1B4C1,Read current temperature,2025-05-08 17:03:00,17,living room
0xfeb6c5a92d3345baff54462956d8f0aec40426dd64d636cce73e3203c96e8d2d,B0E9FE892B71,Turn on circulator fan,2025-05-22 15:14:00,15,bedroom
0xfeb6c5a92d3345baff54462956d8f0aec40426dd64d636cce73e3203c96e8d2d,D48C49DC31EA,Turn off humidifier,2025-05-18 08:12:00,8,bedroom
0xfeb6c5a92d3345baff54462956d8f0aec40426dd64d636cce73e3203c96e8d2d,B0E9FE892B71,Turn on circulator fan,2025-05-10 11:09:00,11,bedroom
0xfeb6c5a92d3345baff54462956d8f0aec40426dd64d636cce73e3203c96e8d2d,D48C49DC31EA,Turn on humidifier,2025-05-06 16:05:00,16,bedroom
0xfeb6c5a92d3345baff54462956d8f0aec40426dd64d636cce73e3203c96e8d2d,FEC966A1B4C1,Read current temperature,2025-05-06 09:04:00,9,living room
0xfeb6c5a92d3345baff54462956d8f0aec40426dd64d636cce73e3203c96e8d2d,B0E9FE892B71,Turn on circulator fan,2025-06-01 20:07:00,20,bedroom
0xfeb6c5a92d3345baff54462956d8f0aec40426dd64d636cce73e3203c96e8d2d,FEC966A1B4C1,Read current humidity,2025-05-29 09:04:00,9,living room
0xfeb6c5a92d3345baff54462956d8f0aec40426dd64d636cce73e3203c96e8d2d,B0E9FE892B71,Turn off circulator fan,2025-05-27 17:00:00,17,bedroom
0xfeb6c5a92d3345baff54462956d8f0aec40426dd64d636cce73e3203c96e8d2d,B0E9FE892B71,Turn off circulator fan,2025-05-03 17:14:00,17,bedroom
0xfeb6c5a92d3345baff54462956d8f0aec40426dd64d636cce73e3203c96e8d2d,B08184D72E46,Turn on purifier,2025-05-05 14:02:00,14,bedroom
0xfeb6c5a92d3345baff54462956d8f0aec40426dd64d636cce73e3203c96e8d2d,D48C49DC31EA,Turn on humidifier,2025-05-12 20:11:00,20,bedroom
0xfeb6c5a92d3345baff54462956d8f0aec40426dd64d636cce73e3203c96e8d2d,02-202505201955-58136578,Turn off light,2025-05-18 15:11:00,15,living room
0xfeb6c5a92d3345baff54462956d8f0aec40426dd64d636cce73e3203c96e8d2d,CB151A0062CD,Read door state,2025-06-01 08:06:00,8,entrance
0xfeb6c5a92d3345baff54462956d8f0aec40426dd64d636cce73e3203c96e8d2d,02-202505201955-58136578,Turn off light,2025-05-15 11:11:00,11,living room
0xfeb6c5a92d3345baff54462956d8f0aec40426dd64d636cce73e3203c96e8d2d,B08184D72E46,Turn on purifier,2025-05-01 10:11:00,10,bedroom
0xfeb6c5a92d3345baff54462956d8f0aec40426dd64d636cce73e3203c96e8d2d,D48C49DC31EA,Turn off humidifier,2025-05-18 11:02:00,11,bedroom
0xfeb6c5a92d3345baff54462956d8f0aec40426dd64d636cce73e3203c96e8d2d,B08184D72E46,Turn on purifier,2025-05-29 08:10:00,8,bedroom
0xfeb6c5a92d3345baff54462956d8f0aec40426dd64d636cce73e3203c96e8d2d,02-202505201942-51413180,Turn on AC,2025-05-05 15:11:00,15,living room
0xfeb6c5a92d3345baff54462956d8f0aec40426dd64d636cce73e3203c96e8d2d,CB151A0062CD,Unlock door,2025-05-22 11:13:00,11,entrance
0xe4e65f00a79fbc51df37e19580e34caecd7dc0266e26e282671ac39ecbc92aa4,B0E9FE892B71,Turn on circulator fan,2025-05-15 03:46:00,3,bedroom
0xe4e65f00a79fbc51df37e19580e34caecd7dc0266e26e282671ac39ecbc92aa4,02-202505201942-51413180,Turn off AC,2025-05-13 15:43:00,15,living room
0xe4e65f00a79fbc51df37e19580e34caecd7dc0266e26e282671ac39ecbc92aa4,02-202505201955-58136578,Turn on light,2025-05-21 16:12:00,16,living room
0xe4e65f00a79fbc51df37e19580e34caecd7dc0266e26e282671ac39ecbc92aa4,FEC966A1B4C1,Read current temperature,2025-05-14 23:04:00,23,living room
0xe4e65f00a79fbc51df37e19580e34caecd7dc0266e26e282671ac39ecbc92aa4,02-202505201942-51413180,Turn off AC,2025-05-03 08:18:00,8,living room
0xe4e65f00a79fbc51df37e19580e34caecd7dc0266e26e282671ac39ecbc92aa4,02-202505201942-51413180,Turn off AC,2025-05-21 01:21:00,1,living room
0xe4e65f00a79fbc51df37e19580e34caecd7dc0266e26e282671ac39ecbc92aa4,B08184D72E46,Turn on purifier,2025-06-01 06:42:00,6,bedroom
0xe4e65f00a79fbc51df37e19580e34caecd7dc0266e26e282671ac39ecbc92aa4,D48C49DC31EA,Turn on humidifier,2025-05-07 05:37:00,5,bedroom
0xe4e65f00a79fbc51df37e19580e34caecd7dc0266e26e282671ac39ecbc92aa4,D48C49DC31EA,Turn off humidifier,2025-05-17 12:28:00,12,bedroom
0xe4e65f00a79fbc51df37e19580e34caecd7dc0266e26e282671ac39ecbc92aa4,02-202505201942-51413180,Turn off AC,2025-05-18 18:00:00,18,living room
0xe4e65f00a79fbc51df37e19580e34caecd7dc0266e26e282671ac39ecbc92aa4,02-202505201942-51413180,Turn off AC,2025-05-24 00:34:00,0,living room
0xe4e65f00a79fbc51df37e19580e34caecd7dc0266e26e282671ac39ecbc92aa4,FEC966A1B4C1,Read current lightlevel,2025-05-24 18:41:00,18,living room
0xe4e65f00a79fbc51df37e19580e34caecd7dc0266e26e282671ac39ecbc92aa4,CB151A0062CD,Lock door,2025-05-25 20:33:00,20,entrance
0xe4e65f00a79fbc51df37e19580e34caecd7dc0266e26e282671ac39ecbc92aa4,B0E9FE892B71,Turn on circulator fan,2025-05-11 22:21:00,22,bedroom
0xe4e65f00a79fbc51df37e19580e34caecd7dc0266e26e282671ac39ecbc92aa4,02-202505201955-58136578,Turn off light,2025-05-07 08:48:00,8,living room
0xe4e65f00a79fbc51df37e19580e34caecd7dc0266e26e282671ac39ecbc92aa4,B0E9FE892B71,Turn off circulator fan,2025-05-16 19:55:00,19,bedroom
0xe4e65f00a79fbc51df37e19580e34caecd7dc0266e26e282671ac39ecbc92aa4,B0E9FE892B71,Turn off circulator fan,2025-05-04 19:16:00,19,bedroom
0xe4e65f00a79fbc51df37e19580e34caecd7dc0266e26e282671ac39ecbc92aa4,CB151A0062CD,Lock door,2025-05-23 15:15:00,15,entrance
0xe4e65f00a79fbc51df37e19580e34caecd7dc0266e26e282671ac39ecbc92aa4,D48C49DC31EA,Turn on humidifier,2025-05-17 19:03:00,19,bedroom
0xe4e65f00a79fbc51df37e19580e34caecd7dc0266e26e282671ac39ecbc92aa4,B08184D72E46,Turn off purifier,2025-05-27 22:34:00,22,bedroom
0x7adbea843f0a528d89b11f566be1a0176e796792e361037d11cdedcb794eccde,FEC966A1B4C1,Read current lightlevel,2025-05-28 09:34:00,9,living room
0x7adbea843f0a528d89b11f566be1a0176e796792e361037d11cdedcb794eccde,FEC966A1B4C1,Read current temperature,2025-05-28 03:40:00,3,living room
0x7adbea843f0a528d89b11f566be1a0176e796792e361037d11cdedcb794eccde,CB151A0062CD,Lock door,2025-05-04 04:32:00,4,entrance
0x7adbea843f0a528d89b11f566be1a0176e796792e361037d11cdedcb794eccde,CB151A0062CD,Read door state,2025-05-10 04:19:00,4,entrance
0x7adbea843f0a528d89b11f566be1a0176e796792e361037d11cdedcb794eccde,CB151A0062CD,Unlock door,2025-06-01 11:15:00,11,entrance
0x7adbea843f0a528d89b11f566be1a0176e796792e361037d11cdedcb794eccde,02-202505201955-58136578,Turn on light,2025-05-13 10:56:00,10,living room
0x7adbea843f0a528d89b11f566be1a0176e796792e361037d11cdedcb794eccde,FEC966A1B4C1,Read current temperature,2025-05-09 10:48:00,10,living room
0x7adbea843f0a528d89b11f566be1a0176e796792e361037d11cdedcb794eccde,02-202505201955-58136578,Turn on light,2025-05-11 15:59:00,15,living room
0x7adbea843f0a528d89b11f566be1a0176e796792e361037d11cdedcb794eccde,FEC966A1B4C1,Read current temperature,2025-05-09 04:25:00,4,living room
0x7adbea843f0a528d89b11f566be1a0176e796792e361037d11cdedcb794eccde,02-202505201955-58136578,Turn off light,2025-05-26 03:51:00,3,living room
0x7adbea843f0a528d89b11f566be1a0176e796792e361037d11cdedcb794eccde,02-202505201955-58136578,Turn off light,2025-05-01 18:02:00,18,living room
0x7adbea843f0a528d89b11f566be1a0176e796792e361037d11cdedcb794eccde,02-202505201942-51413180,Turn on AC,2025-05-02 22:01:00,22,living room
0x7adbea843f0a528d89b11f566be1a0176e796792e361037d11cdedcb794eccde,D48C49DC31EA,Turn on humidifier,2025-05-21 23:42:00,23,bedroom
0x7adbea843f0a528d89b11f566be1a0176e796792e361037d11cdedcb794eccde,02-202505201942-51413180,Turn on AC,2025-05-01 17:54:00,17,living room
0x7adbea843f0a528d89b11f566be1a0176e796792e361037d11cdedcb794eccde,B0E9FE892B71,Turn on circulator fan,2025-05-01 19:10:00,19,bedroom
