user_id,accessible_room
0x4e68080fa36fa9eea3a8bc7413f23bbf0a28b18d0d899217da3225f9cf4ae376,room_3
0x4e68080fa36fa9eea3a8bc7413f23bbf0a28b18d0d899217da3225f9cf4ae376,room_5
0x4e68080fa36fa9eea3a8bc7413f23bbf0a28b18d0d899217da3225f9cf4ae376,room_8
0x79b0aa0042b3c05617c378046a6553ec2cd81e9995959a6012f9b497a18ec82b,room_8
0x79b0aa0042b3c05617c378046a6553ec2cd81e9995959a6012f9b497a18ec82b,room_10
0xd39f33d09bf080259380f4ec38f7610ba03db7c453b13e11477ec90ef53d7bcd,room_9
0xd39f33d09bf080259380f4ec38f7610ba03db7c453b13e11477ec90ef53d7bcd,room_8
0x6b902cece245553e51d0b3c0ccec459cbad0e97a9ad934e603c0b5a5814f0714,room_10
0x6b902cece245553e51d0b3c0ccec459cbad0e97a9ad934e603c0b5a5814f0714,room_7
0x6b902cece245553e51d0b3c0ccec459cbad0e97a9ad934e603c0b5a5814f0714,room_9
0x0addd785530bd754f6742a7893f6743c3de4db25e11197035fe53b18f63fcb21,room_10
0x0addd785530bd754f6742a7893f6743c3de4db25e11197035fe53b18f63fcb21,room_2
0x0addd785530bd754f6742a7893f6743c3de4db25e11197035fe53b18f63fcb21,room_4
0xafa2dc6e90630b97eaa4cfc703f24d7ece8530c499e865d4746715e035357df9,room_3
0xafa2dc6e90630b97eaa4cfc703f24d7ece8530c499e865d4746715e035357df9,room_1
0xafa2dc6e90630b97eaa4cfc703f24d7ece8530c499e865d4746715e035357df9,room_2
0xc650537eac62a7ea9a2aa4ab9e73cbf847c823d05377ffc82a1702d764002b70,room_2
0xc650537eac62a7ea9a2aa4ab9e73cbf847c823d05377ffc82a1702d764002b70,room_4
0xc650537eac62a7ea9a2aa4ab9e73cbf847c823d05377ffc82a1702d764002b70,room_9
0xeed63b15ad4ce05258b7e5b4a2eba61f8881f1f379611ecc5a4175b555f963b6,room_10
0xece90885916cc1babb335bb6665fb741f06efec9e9fe64d535a23a429bfc7d6a,room_9
0xece90885916cc1babb335bb6665fb741f06efec9e9fe64d535a23a429bfc7d6a,room_1
0xece90885916cc1babb335bb6665fb741f06efec9e9fe64d535a23a429bfc7d6a,room_5
0xb023832dc4eee493538d6e1ce1a3063eabbed1e8624077b198fc7c3d51ada549,room_8
0xa8f5206313287ac51f63be6ac16d2badd9d2d71b781af7d0ddfa9e7f05df0a1b,room_7
0xa8f5206313287ac51f63be6ac16d2badd9d2d71b781af7d0ddfa9e7f05df0a1b,room_5
0x02de9400d3973a7cb90b367577dce96d33accefedf743df86da5837742fb2549,room_6
0xce46e94dd877a19c5b6a8c513f86e800000893bcb14f90dccd3fdb932b6b5af0,room_8
0xce46e94dd877a19c5b6a8c513f86e800000893bcb14f90dccd3fdb932b6b5af0,room_5
0x1756fecfa202f0eb1249752c5b6386d2bdc75b307354e3050920a47ef5cdcca6,room_3
0x1756fecfa202f0eb1249752c5b6386d2bdc75b307354e3050920a47ef5cdcca6,room_2
0x6ba1c8aa0253c7268f87ab618b89086cd40aa9e9335ca52b0ccc65de71211991,room_6
0x6ba1c8aa0253c7268f87ab618b89086cd40aa9e9335ca52b0ccc65de71211991,room_10
0x86dcb774b7b2e89618392047420d5aca889dd90a8e44d670de0d071474eded07,room_2
0x86dcb774b7b2e89618392047420d5aca889dd90a8e44d670de0d071474eded07,room_7
0x3e70bc0f82cec75bb4124987541c4a26b4818ee507a7c9907b6979bd28a09e44,room_8
0x3e70bc0f82cec75bb4124987541c4a26b4818ee507a7c9907b6979bd28a09e44,room_6
0x3e70bc0f82cec75bb4124987541c4a26b4818ee507a7c9907b6979bd28a09e44,room_5
0xe9bd6b8ee6bdf8e6158abb3bc6e474dd9de94ea893ea3c36ed8c7d2efa1fb604,room_4
0x0eef88d7e9202d2e2c5116874e8c10d2bc157c947adc68580508e1c3f507523e,room_3
0x0eef88d7e9202d2e2c5116874e8c10d2bc157c947adc68580508e1c3f507523e,room_6
0x313ce0557ee03a5ea240f0911c9adb1fa13536a6a6bd11ec77d1f9d871baff56,room_7
0x313ce0557ee03a5ea240f0911c9adb1fa13536a6a6bd11ec77d1f9d871baff56,room_4
0x51694e6d3e79a736434de2ec500193d27807f3d5a61188b2601a29d2a78186ed,room_5
0x51694e6d3e79a736434de2ec500193d27807f3d5a61188b2601a29d2a78186ed,room_9
0x51694e6d3e79a736434de2ec500193d27807f3d5a61188b2601a29d2a78186ed,room_1
0x97f73cb38ad218abb60e933c5cf5460c2cabb2d9ec0722d3a457c3fd1d23544f,room_5
0x46c1fafb5e7e8bdd35db262ecdf42956a4e01a1a16d07ef6d521346ee946166a,room_3
0x07d1cd3f834be181ee89efd660c4d584fd9288229ec09ae906c48306238326ff,room_3
0xf020f42719e61f4ea3f9543067b0361fd76aac1f8414e17b19ca4d26d1246f5e,room_10
0xaeea3b4f2ceeecfb103e26fd56fda62263e193b0f6be0cb1518c89df5addfe6f,room_4
0xaeea3b4f2ceeecfb103e26fd56fda62263e193b0f6be0cb1518c89df5addfe6f,room_5
0xaeea3b4f2ceeecfb103e26fd56fda62263e193b0f6be0cb1518c89df5addfe6f,room_8
0x95ae1e0c0f831c370199687c19db69a44d6f1d9986412a2422c0cf450048d3c7,room_9
0x95ae1e0c0f831c370199687c19db69a44d6f1d9986412a2422c0cf450048d3c7,room_3
0x041dde01b77062373029df6e4dd6652c26d66ede65ad52dc0bf65894c215b0d2,room_2
